wkt,annual_mm,elevation_m,weight
POINT(169.737 -46.353),860,23,29
POINT(169.792 -46.063),956,237,32
POINT(170.137 -45.916),939,29,31
POINT(169.536 -45.712),1435,390,48
POINT(169.858 -45.614),982,948,33
POINT(170.185 -45.644),713,289,24
POINT(170.433 -45.609),781,545,26
POINT(169.711 -45.302),776,840,26
POINT(170.107 -45.302),750,1080,25
POINT(170.465 -45.346),723,393,24
POINT(170.763 -45.356),950,329,32
POINT(170.432 -44.945),965,738,32
POINT(171.978 -43.889),606,63,20
POINT(171.834 -43.636),781,191,26
POINT(172.288 -43.567),704,97,23
POINT(172.521 -43.606),558,18,19
POINT(171.883 -43.172),1344,567,45
POINT(172.295 -43.122),1312,876,44
POINT(172.646 -43.123),786,123,26
POINT(172.195 -42.932),1212,1051,40
POINT(172.53 -42.808),1083,570,36
POINT(172.983 -42.769),562,218,19
POINT(173.251 -42.904),698,32,23
POINT(172.557 -42.537),1033,499,34
POINT(173.923 -41.502),684,12,23
POINT(174.97 -41.361),1002,398,33
POINT(175.367 -41.392),840,300,28
POINT(174.302 -41.132),1006,118,34
POINT(174.992 -41.09),1308,321,44
POINT(175.408 -41.079),1337,79,45
POINT(175.766 -41.18),892,476,30
POINT(175.475 -40.804),2763,927,92
POINT(174.773 -38.603),1729,38,58
POINT(175.041 -38.732),1495,261,50
POINT(175.439 -38.696),1855,629,62
POINT(175.797 -38.575),1231,474,41
POINT(176.017 -38.661),1064,530,35
POINT(175.092 -38.377),1315,177,44
POINT(175.461 -38.3),1915,471,64
POINT(175.777 -38.389),1403,214,47
POINT(176.051 -38.212),1615,621,54
POINT(176.525 -38.353),1261,522,42
POINT(176.776 -38.257),1489,242,50
POINT(175.012 -37.955),1682,347,56
POINT(175.383 -37.866),1332,58,44
POINT(175.818 -37.976),1349,107,45
POINT(176.175 -37.983),1791,486,60
POINT(176.525 -37.953),1687,227,56
POINT(176.819 -38.013),1490,8,50
POINT(175.13 -37.597),1215,133,40
POINT(175.394 -37.545),1291,21,43
POINT(175.726 -37.644),1301,30,43
POINT(174.721 -37.205),1354,19,45
POINT(174.963 -37.294),1234,4,41
POINT(175.312 -37.208),1204,58,40
POINT(175.836 -37.272),1489,65,50
POINT(174.621 -36.813),1206,58,40
POINT(175.065 -36.917),1289,30,43
POINT(175.739 -36.876),1339,165,45
POINT(174.274 -36.593),1104,48,37
POINT(174.69 -36.637),1123,17,37
POINT(174.42 -36.121),1323,134,44
POINT(174.662 -36.282),1383,88,46
