wkt,annual_mm,elevation_m,weight
POINT(167.657 -47.058),2438,253,81
POINT(168.127 -47.024),1249,151,42
POINT(167.716 -46.766),2400,194,80
POINT(169.083 -46.62),1300,224,43
POINT(168.33 -46.269),1434,28,48
POINT(168.676 -46.42),1296,49,43
POINT(169.012 -46.278),1507,185,50
POINT(169.434 -46.314),1063,507,35
POINT(169.737 -46.353),860,23,29
POINT(166.609 -46.043),5024,24,167
POINT(167.057 -45.988),3846,661,128
POINT(167.313 -46.037),2123,157,71
POINT(167.734 -46.075),1745,40,58
POINT(167.993 -45.997),1380,179,46
POINT(168.407 -46.015),1542,206,51
POINT(168.787 -45.975),1150,133,38
POINT(169.05 -46.052),1087,152,36
POINT(169.424 -45.951),1104,472,37
POINT(169.792 -46.063),956,237,32
POINT(170.137 -45.916),939,29,31
POINT(166.616 -45.728),5242,319,175
POINT(167.006 -45.721),4172,913,139
POINT(167.336 -45.566),3693,801,123
POINT(167.729 -45.634),1988,299,66
POINT(168.071 -45.617),1539,454,51
POINT(168.319 -45.654),1498,257,50
POINT(168.775 -45.623),1436,501,48
POINT(169.08 -45.726),1401,604,47
POINT(169.536 -45.712),1435,390,48
POINT(169.858 -45.614),982,948,33
POINT(170.185 -45.644),713,289,24
POINT(170.433 -45.609),781,545,26
POINT(167.047 -45.382),5228,1116,174
POINT(167.434 -45.318),3170,483,106
POINT(167.746 -45.331),2087,203,70
POINT(168.005 -45.239),2072,1348,69
POINT(168.489 -45.348),1645,829,55
POINT(168.692 -45.365),1695,370,56
POINT(169.026 -45.352),1477,1376,49
POINT(169.507 -45.221),684,321,23
POINT(169.711 -45.302),776,840,26
POINT(170.107 -45.302),750,1080,25
POINT(170.465 -45.346),723,393,24
POINT(170.763 -45.356),950,329,32
POINT(167.623 -45.004),5585,1010,186
POINT(168.094 -44.946),2703,1095,90
POINT(168.322 -45.005),2144,1833,71
POINT(168.8 -44.98),1307,449,44
POINT(169.118 -44.889),1266,1525,42
POINT(169.41 -44.911),1049,383,35
POINT(169.872 -44.916),836,511,28
POINT(170.162 -44.864),935,1201,31
POINT(170.432 -44.945),965,738,32
POINT(170.85 -44.915),713,93,24
POINT(167.744 -44.678),5571,458,186
POINT(168.092 -44.513),5634,576,188
POINT(168.477 -44.571),3871,1606,129
POINT(168.824 -44.532),2435,1547,81
POINT(169.14 -44.593),1448,278,48
POINT(169.392 -44.559),1429,1320,48
POINT(169.808 -44.585),1120,726,37
POINT(170.19 -44.513),858,470,29
POINT(170.463 -44.622),795,847,26
POINT(170.929 -44.62),848,824,28
POINT(168.355 -44.34),5052,1010,168
POINT(168.713 -44.336),4256,1378,142
POINT(169.18 -44.172),3950,1583,132
POINT(169.481 -44.169),2716,1628,91
POINT(169.802 -44.212),1992,1189,66
POINT(170.075 -44.277),1285,459,43
POINT(170.494 -44.202),989,532,33
POINT(170.823 -44.281),1097,361,37
POINT(171.147 -44.337),648,79,22
POINT(169.023 -43.937),4448,158,148
POINT(169.455 -43.987),4803,254,160
POINT(169.829 -43.827),4849,1518,162
POINT(170.105 -43.877),2100,841,70
POINT(170.446 -43.931),1258,764,42
POINT(170.931 -43.843),1381,932,46
POINT(171.245 -43.838),1233,351,41
POINT(171.59 -43.907),844,135,28
POINT(171.978 -43.889),606,63,20
POINT(169.505 -43.636),4848,11,162
POINT(169.761 -43.609),6520,1175,217
POINT(170.133 -43.488),5820,1849,194
POINT(170.454 -43.521),4379,1958,146
POINT(170.795 -43.622),1907,946,64
POINT(171.206 -43.519),1344,745,45
POINT(171.595 -43.637),1295,350,43
POINT(171.834 -43.636),781,191,26
POINT(172.288 -43.567),704,97,23
POINT(172.521 -43.606),558,18,19
POINT(170.464 -43.189),5388,234,180
POINT(170.795 -43.125),6018,803,201
POINT(171.205 -43.126),3180,1235,106
POINT(171.496 -43.133),1988,794,66
POINT(171.883 -43.172),1344,567,45
POINT(172.295 -43.122),1312,876,44
POINT(172.646 -43.123),786,123,26
POINT(171.282 -42.913),5451,1508,182
POINT(171.549 -42.787),4428,1193,148
POINT(171.947 -42.775),3249,1392,108
POINT(172.195 -42.932),1212,1051,40
